adultRR,eggRR
0.0025,0.0005
0.005,0.001
0.0075,0.0015
0.01,0.002
0.0125,0.0025
0.015000000000000001,0.003
0.017499999999999998,0.0035
0.02,0.004
0.0225,0.0045000000000000005
0.024999999999999998,0.005500000000000001
0.0275,0.006500000000000002
0.03,0.008000000000000004
0.0325,0.009500000000000005
0.035,0.011000000000000006
0.037500000000000006,0.013000000000000008
0.04,0.01450000000000001
0.0425,0.01650000000000001
0.045000000000000005,0.019000000000000013
0.0475,0.021000000000000015
0.05,0.023500000000000017
0.052500000000000005,0.02600000000000002
0.055,0.028500000000000022
0.0575,0.031000000000000024
0.060000000000000005,0.03400000000000002
0.0625,0.037000000000000026
0.065,0.04000000000000003
0.0675,0.04350000000000003
0.07,0.046500000000000034
0.07250000000000001,0.05000000000000004
0.075,0.05350000000000004
0.0775,0.057500000000000044
0.08,0.06100000000000005
0.0825,0.06500000000000004
0.085,0.06900000000000005
0.08750000000000001,0.07350000000000005
0.09000000000000001,0.07750000000000005
0.0925,0.08200000000000006
0.095,0.08700000000000006
0.0975,0.09150000000000007
0.1,0.09650000000000007
0.10250000000000001,0.10100000000000008
0.10500000000000001,0.10650000000000008
0.1075,0.11150000000000009
0.11,0.11700000000000009
0.1125,0.1220000000000001
0.115,0.12800000000000009
0.11750000000000001,0.1335000000000001
0.12000000000000001,0.1395000000000001
0.1225,0.1450000000000001
0.125,0.1515000000000001
0.1275,0.1575000000000001
0.13,0.16400000000000012
0.1325,0.17000000000000012
0.135,0.17650000000000013
0.1375,0.18350000000000014
0.14,0.19000000000000014
0.14250000000000002,0.19700000000000015
0.14500000000000002,0.20400000000000015
0.1475,0.21150000000000016
0.15,0.21850000000000017
0.1525,0.22600000000000017
0.155,0.23350000000000018
0.1575,0.2415000000000002
0.16,0.2490000000000002
0.1625,0.2570000000000002
0.165,0.2650000000000002
0.1675,0.2730000000000002
0.17,0.2815000000000002
0.17250000000000001,0.2900000000000002
0.17500000000000002,0.2985000000000002
0.17750000000000002,0.3070000000000002
0.18,0.3160000000000002
0.1825,0.32450000000000023
0.185,0.33400000000000024
0.1875,0.34300000000000025
0.19,0.35200000000000026
0.1925,0.36150000000000027
0.195,0.3710000000000003
0.1975,0.3805000000000003
0.2,0.3905000000000003
0.2025,0.4005000000000003
0.20500000000000002,0.4105000000000003
0.20750000000000002,0.4205000000000003
0.21000000000000002,0.4310000000000003
0.2125,0.44100000000000034
0.215,0.45150000000000035
0.2175,0.46250000000000036
0.22,0.47300000000000036
0.2225,0.4840000000000004
0.225,0.4950000000000004
0.2275,0.5059999999999997
0.23,0.5174999999999984
0.2325,0.5284999999999972
0.23500000000000001,0.5399999999999959
0.23750000000000002,0.5519999999999946
0.24000000000000002,0.5634999999999933
0.2425,0.575499999999992
