1	4.3225806452
2	3.1428571429
3	3.3870967742
4	2.3333333333
5	1.5483870968
6	0.9333333333
7	1.1290322581
8	0.9032258065
9	1.8666666667
10	2.4838709677
11	4.3
12	4.7096774194
13	4.3225806452
14	3.1428571429
15	3.3870967742
16	2.3333333333
17	1.5483870968
18	0.9333333333
19	1.1290322581
20	0.9032258065
21	1.8666666667
22	2.4838709677
23	4.3
24	4.7096774194
25	4.3225806452
26	3.1428571429
27	3.3870967742
28	2.3333333333
29	1.5483870968
30	0.9333333333
31	1.1290322581
32	0.9032258065
33	1.8666666667
34	2.4838709677
35	4.3
36	4.7096774194
37	4.3225806452
38	3.1428571429
39	3.3870967742
40	2.3333333333
41	1.5483870968
42	0.9333333333
43	1.1290322581
44	0.9032258065
45	1.8666666667
46	2.4838709677
47	4.3
48	4.7096774194
49	4.3225806452
50	3.1428571429
