"","GAUL","Y10_l","Y10_m","Y10_h","Y5_l","Y5_m","Y5_h","Y3_l","Y3_m","Y3_h"
"Full contribution",77,0.258355781171285,0.720816149007006,1.6595837740311,0.138995562355398,0.38779951248568,0.892857047369163,0.0859234896014863,0.239727706509982,0.551941313270699
"50% contribution",239,0.640328909681656,0.979592547392608,3.78017452709753,0.344497330348546,0.527021367149985,2.03373612083844,0.212959408777797,0.325791084209488,1.25720347808098
