"","TPP_10y_l","TPP_10y_m","TPP_10y_h","TPP_5y_l","TPP_5y_m","TPP_5y_h","TPP_3y_l","TPP_3y_m","TPP_3y_h"
"Full contribution",0.144331139431892,0.280517893758453,0.717048640511145,0.0776502379771829,0.150918791973375,0.385772590697103,0.0480013843774795,0.0932941241651773,0.238474715477228
"50% contribution",0.194301088195407,0.501934048357801,0.96468152198641,0.10453409982756,0.270040813487972,0.518999226703837,0.0646202978521585,0.16693230083406,0.320832002858073
