"","TPP_10y_l","TPP_10y_m","TPP_10y_h","TPP_5y_l","TPP_5y_m","TPP_5y_h","TPP_3y_l","TPP_3y_m","TPP_3y_h"
"Full contribution",0.00144331139431892,0.0280517893758453,0.143409728102229,0.000776502379771829,0.0150918791973375,0.0771545181394206,0.000480013843774795,0.00932941241651773,0.0476949430954456
"50% contribution",0.00194301088195407,0.0501934048357801,0.192936304397282,0.0010453409982756,0.0270040813487972,0.103799845340767,0.000646202978521585,0.016693230083406,0.0641664005716145
