Suppression type,20%,50%,80%,%lit
No Suppression,0.0,0.0,0.0,0.0775
RIDL,0.065,0.0425,0.0175,0.0425
SIT,0.065,0.0425,0.0175,0.04
IIT,0.0625,0.0325,0.0025,0.015
EM,0.0725,0.06,0.0475,0.0625
LV,0.0725,0.0625,0.0475,0.065
AD,0.0625,0.045,0.03,0.0475
