"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"2",41748,"Kandy",2736,100,1904.8256037524,10.7178292129975,185916.53125,17425.9183194942
"5",25846,"Galle",2742,25,1595.16247922584,11.0068805231535,53104.03515625,4845.1884666129
"6",25853,"Kalutara",2744,81.1761863529682,1627.87160339067,11.9435190808919,172080.072581038,17247.99660099
"12",25851,"Colombo",2744,420.924524404109,675.425286836253,8.65555677140675,1380449.5967694,123491.859939985
"20",25852,"Gampaha",2744,238.255512312753,1403.54486296419,9.51437331708743,644037.555519243,56315.2237847835
